Dato,Track,Data (CoM),Max,Clean,Clean CoM,Large Region CoM,Large Region Max,Angle Weight max,Resized half,Resized 70%,Resized 60%,Resized 40%,Resized 30%,Resized 40% confidence .4,Confidence .3,Confidence 0.2,No confidence .5 all pixels,No confidence .5 size all pixels,Confidence 0.5 all pixels upper region,"Confidence 0.5 all pixels upper region dog(3, 5)","Reorganized voting, resize 50, all pixels, confidence .5",Freq 0.1,Freq 0.2,Freq 0.3,Freq 0.4,Freq 0.5,Freq 0.6,Feedback
1,512,541,485.493461203139,996,584,564,724,519,528,525,553,530,520,533,516,496,500,516,520,524,524,170,500,522,522,488,674,480
2,512,561,485.493461203139,765,669,561,724,518,540,518,548,512,530,520,500,573,502,518,526,538,524,160,494,512,498,472,638,480
3,512,521,485.493461203139,765,551,579,726,518,524,518,538,437,103,526,573,553,522,508,522,510,504,140,498,520,504,506,642,480
4,512,545,485.493461203139,753,674,553,727,523,522,511,531,535,483,530,553,546,562,502,514,502,460,116,512,472,482,468,656,480
5,512,538,485.493461203139,756,562,546,729,521,520,508,556,537,570,520,546,536,522,504,520,500,458,60,498,468,540,596,438,480
6,512,509,485.493461203139,665,582,545,525,525,596,525,553,537,553,140,536,490,534,522,530,538,488,600,498,486,500,494,446,480
7,512,516,485.493461203139,665,591,563,523,526,530,538,443,535,543,126,506,530,534,526,522,572,460,98,492,484,508,492,444,480
8,512,536,485.493461203139,671,610,589,738,524,552,560,495,535,546,540,500,476,544,560,500,528,494,54,496,462,508,510,496,480
9,512,532,485.493461203139,671,563,602,741,532,542,581,495,525,470,496,476,530,506,526,502,550,550,0,534,536,530,432,498,480
10,512,508,485.493461203139,671,573,547,810,558,542,577,498,525,486,376,530,520,498,534,528,518,544,540,532,482,532,442,560,480
11,512,474,485.493461203139,669,626,565,823,520,542,525,531,530,476,513,520,523,508,534,516,542,526,530,496,436,444,484,154,480
12,512,482,485.493461203139,676,538,577,513,523,566,517,733,505,533,516,523,376,552,528,560,516,516,502,472,442,468,472,600,480
13,512,518,485.493461203139,687,494,583,519,519,564,512,565,520,520,520,376,520,528,508,536,520,462,460,486,500,492,480,620,480
14,512,512,485.493461203139,691,564,560,517,517,564,514,575,530,523,490,520,513,486,504,530,500,472,432,468,480,486,492,502,480
15,512,503,485.493461203139,693,590,560,753,520,554,514,550,505,380,500,513,516,510,548,528,516,492,446,468,482,472,496,406,480
16,512,509,485.493461203139,698,603,566,752,520,540,502,571,497,513,500,516,496,494,528,524,524,510,434,404,466,484,498,516,480
17,512,505,485.493461203139,705,592,547,751,519,542,502,570,490,520,486,483,500,482,496,518,512,512,404,472,518,512,528,288,480
18,512,542,783,780,669,606,747,513,528,500,563,502,526,483,500,500,476,482,518,514,512,424,488,500,480,504,638,484
19,512,491,403,785,550,650,739,510,516,484,505,460,480,403,500,486,484,492,556,490,480,334,476,482,424,426,472,470
20,512,458,396,722,628,525,742,389,532,495,573,467,510,470,486,483,474,498,508,480,424,332,312,436,480,504,630,444
21,484,550,556,504,598,602,492,497,528,488,491,470,500,453,483,476,476,484,500,498,476,312,474,480,466,440,452,448
22,473,462,841,931,471,557,493,493,500,478,490,452,486,466,403,470,470,478,510,486,480,276,464,482,458,466,438,442
23,455,443,407,845,705,601,482,482,484,470,478,462,483,453,470,453,450,472,494,490,438,238,436,458,484,438,352,436
24,443,487,674,547,733,531,713,476,486,462,500,450,406,450,453,466,448,464,484,468,456,148,428,480,438,488,586,440
25,428,443,776,870,445,662,468,468,474,444,488,452,470,450,466,453,442,452,482,458,424,70,472,442,436,420,364,424
26,428,481,303,779,805,555,754,511,518,452,478,445,450,456,453,456,442,432,480,426,408,108,420,416,438,408,592,432
27,428,495,575,793,606,570,695,457,472,451,470,457,463,446,456,446,462,450,474,452,432,48,424,408,416,418,360,426
28,428,481,579,807,813,579,717,454,462,428,463,455,456,443,450,456,448,450,462,444,456,406,426,442,398,388,408,418
29,428,483,583,823,512,597,696,450,448,430,435,460,456,446,456,456,444,442,480,446,404,402,382,394,426,420,350,436
30,428,479,584,832,490,532,713,367,458,438,456,465,450,463,456,456,462,458,438,472,452,928,390,422,412,408,346,436
31,436,460,637,843,483,542,447,447,458,438,438,460,456,460,443,460,454,454,436,454,424,462,394,406,404,418,370,436
32,436,464,641,858,632,600,696,446,454,430,453,467,450,466,460,463,446,462,450,464,418,912,380,428,454,394,314,428
33,435,509,353,862,837,503,694,442,458,437,523,457,443,456,463,460,456,468,452,448,444,662,378,424,430,418,562,444
34,434,498,588,874,786,475,700,442,458,440,510,452,460,433,466,466,456,458,456,452,446,274,400,440,442,454,470,436
35,434,448,453,887,581,517,447,447,468,450,513,462,463,453,470,456,476,468,454,452,424,450,414,434,428,438,368,448
36,437,458,450,515,727,584,719,450,468,442,475,470,463,463,456,443,476,454,446,442,448,974,420,426,444,392,374,454
37,437,449,586,531,461,544,450,450,470,445,446,475,470,463,433,453,490,454,464,454,434,338,428,426,428,420,486,452
38,437,474,589,510,439,622,453,453,476,430,456,482,456,463,453,463,474,470,440,474,436,230,424,446,380,396,234,452
39,439,468,458,939,457,689,746,453,478,448,460,482,433,473,463,463,474,476,472,460,374,320,404,380,442,486,404,452
40,442,443,451,534,600,562,758,456,480,450,480,487,453,483,463,463,482,476,464,476,442,312,432,380,452,438,286,462
41,442,490,406,514,469,630,454,454,478,450,461,482,463,476,463,473,484,472,474,466,448,200,432,450,430,446,280,468
42,442,458,358,711,432,571,456,454,470,451,498,492,463,476,473,476,478,468,434,460,448,464,406,446,444,444,400,476
43,444,433,430,550,619,458,775,456,474,460,461,492,476,473,476,473,458,480,474,470,460,442,442,448,448,460,422,468
44,472,440,469,537,493,637,462,462,478,458,458,505,473,480,473,476,482,484,476,466,450,458,458,460,438,432,288,474
45,472,449,449,541,470,649,466,466,484,464,456,502,483,493,476,473,478,488,470,480,460,464,450,454,454,452,588,472
46,474,442,715,556,446,497,471,471,484,468,455,497,473,503,473,480,494,478,470,460,466,474,456,464,460,450,344,486
47,475,413,450,234,494,643,474,474,488,471,465,500,476,500,480,493,500,486,480,486,470,476,452,470,458,484,324,486
48,482,465,482,558,231,581,478,478,490,475,470,507,473,500,500,503,504,478,468,484,466,480,464,454,446,490,494,496
49,493,459,438,560,485,781,481,481,492,304,470,510,480,510,503,500,504,492,476,498,472,484,456,474,454,356,436,498
50,494,466,494,557,526,521,848,488,530,487,473,500,493,513,500,500,504,498,478,496,468,486,466,468,476,482,502,492
51,494,452,475,556,496,519,487,487,500,488,475,500,500,520,500,510,504,490,490,500,480,492,470,476,480,496,520,498
52,494,471,444,561,462,505,492,492,504,492,475,510,500,500,510,513,492,500,478,496,468,496,476,484,504,486,278,492
53,493,462,639,571,450,617,495,495,510,487,305,502,500,500,513,520,508,504,498,504,500,500,474,496,470,464,512,494
54,491,444,478,573,481,865,493,493,510,388,486,497,510,500,510,500,502,510,500,486,484,502,470,490,462,506,334,500
55,487,504,739,576,425,721,923,862,516,492,491,487,513,503,500,500,496,512,504,492,500,504,478,500,488,470,212,496
56,486,507,479,235,464,588,914,181,508,484,490,487,506,500,500,500,498,502,500,514,480,504,484,480,464,462,506,502
57,485,483,478,562,430,707,495,495,512,487,488,505,500,496,500,503,492,502,502,498,480,502,476,492,494,508,460,498
58,485,496,469,563,462,529,494,495,502,490,495,497,500,500,503,500,484,482,508,476,506,526,484,500,484,482,538,496
59,485,483,463,575,489,531,491,492,502,484,491,497,500,496,500,496,496,492,506,498,508,528,474,492,474,468,272,504
60,485,496,633,567,474,469,490,491,504,488,490,510,503,506,496,500,494,492,508,474,472,500,480,488,482,506,554,500
61,484,516,469,558,490,591,492,492,500,488,501,515,500,513,500,496,492,478,508,488,496,522,478,504,478,484,644,494
62,484,531,307,569,495,501,493,494,526,484,498,520,496,516,503,506,490,496,492,496,490,526,482,490,488,490,516,492
63,484,534,650,162,506,541,489,489,504,485,498,517,500,516,506,513,502,494,494,486,488,528,478,488,484,482,454,500
64,485,513,647,176,363,681,489,489,496,475,496,522,496,526,513,516,502,488,492,484,500,526,492,498,376,488,776,510
65,509,547,643,566,379,592,665,263,646,491,495,535,506,526,516,516,506,488,482,488,384,528,480,476,482,490,446,512
66,513,508,442,553,492,562,497,497,512,500,490,540,513,533,516,526,518,506,494,504,474,532,480,520,490,504,472,518
67,523,496,640,548,416,508,496,496,512,498,490,537,516,543,513,523,520,504,498,502,486,534,482,478,498,500,486,522
68,523,475,461,96,490,526,503,503,518,507,483,547,513,546,523,533,514,506,484,496,506,538,486,496,528,492,566,528
69,523,490,637,526,233,318,509,507,526,497,496,542,513,550,533,543,520,518,508,516,518,552,504,496,494,512,446,542
70,523,506,634,545,457,561,269,267,530,520,495,560,526,550,543,546,524,518,504,510,514,556,506,502,498,530,566,542
71,523,502,599,542,467,582,521,521,538,524,498,557,533,553,546,550,528,530,508,528,512,562,512,498,514,540,556,544
72,526,461,635,522,496,539,525,525,544,528,513,547,543,550,550,550,522,528,508,520,514,568,528,518,544,542,592,546
73,528,557,417,522,490,515,529,528,546,540,508,550,546,553,553,550,522,540,516,524,514,564,518,542,530,524,974,546
74,532,506,623,536,484,505,533,534,550,535,521,555,550,553,550,550,548,530,514,538,542,574,520,526,528,526,526,548
75,533,480,414,539,485,540,535,535,544,538,528,540,553,556,550,553,526,532,508,524,544,576,526,542,544,536,602,548
76,533,481,342,517,477,510,538,537,556,535,535,545,550,553,553,553,544,556,530,522,570,594,524,550,520,520,604,552
77,533,483,628,508,473,562,537,535,554,537,536,545,550,550,553,556,526,542,534,528,554,596,530,544,548,538,562,550
78,533,477,632,527,473,537,539,541,552,542,538,535,553,543,556,553,524,554,532,532,544,602,532,538,486,518,614,546
79,532,479,638,530,461,540,757,574,560,540,538,522,553,550,553,550,536,546,528,532,506,588,530,500,528,532,616,540
80,526,492,636,512,463,527,540,540,554,532,541,502,556,563,550,543,540,548,524,538,550,588,524,556,514,530,606,536
81,524,461,635,529,553,539,537,537,548,534,533,512,553,526,543,550,534,528,522,524,520,590,528,548,518,528,608,550
82,519,455,640,518,467,530,535,535,550,528,530,510,550,530,550,560,524,538,538,534,540,588,530,550,534,530,602,536
83,505,475,643,521,473,537,530,530,546,528,543,507,543,526,560,526,524,540,542,542,536,588,524,554,510,518,618,530
84,504,460,651,525,484,563,531,529,542,522,536,515,550,523,526,530,516,516,532,526,532,586,516,528,522,512,598,534
85,500,468,654,537,473,645,525,525,544,150,535,497,560,523,530,530,514,520,524,518,530,568,512,530,504,538,612,530
86,500,453,658,530,489,472,525,525,542,648,536,500,526,516,526,523,514,538,534,528,530,562,528,512,492,504,594,526
87,496,482,422,532,466,566,760,192,536,508,531,492,530,510,523,523,512,514,534,516,504,552,508,518,512,532,540,512
88,492,451,441,526,472,534,505,505,530,505,533,505,530,513,523,516,492,516,526,518,522,570,506,514,506,526,574,510
89,485,462,669,547,473,552,766,504,524,510,521,502,516,513,516,516,488,512,524,500,504,570,502,538,498,502,584,504
90,485,475,426,537,500,355,504,504,524,502,518,497,523,506,510,513,504,522,534,496,520,572,504,494,468,478,506,504
91,485,481,428,545,491,556,648,130,518,501,510,487,516,500,513,513,486,494,514,506,482,574,482,500,492,502,512,504
92,485,446,451,528,486,546,497,497,514,497,508,490,516,480,513,496,500,504,514,490,500,566,474,508,500,496,514,498
93,482,476,459,546,493,554,494,493,514,494,515,482,510,500,506,500,492,500,510,488,492,570,490,502,500,504,528,496
94,481,448,467,560,497,543,505,519,512,492,501,485,513,486,500,480,510,488,530,502,490,568,494,488,494,502,542,502
95,479,478,456,546,512,537,505,523,508,510,505,495,506,490,480,503,494,492,490,492,480,562,476,468,490,466,484,500
96,477,477,470,556,484,544,497,551,508,488,503,485,503,496,503,486,500,498,502,494,466,532,478,490,472,470,554,494
97,475,470,481,555,494,534,645,583,504,487,503,485,480,500,486,490,486,512,502,490,472,532,464,482,490,472,554,488
98,475,456,467,546,500,516,469,499,502,502,495,492,503,500,490,496,478,488,498,490,478,530,466,490,498,498,526,492
99,475,494,648,551,501,537,478,502,500,484,495,495,483,503,496,500,506,488,492,496,452,528,456,474,484,494,546,496
100,491,500,457,553,486,531,531,531,498,512,488,492,490,500,500,500,486,486,494,484,486,528,464,474,482,484,550,502
101,493,484,709,539,501,543,471,531,496,511,485,500,496,490,500,503,496,490,512,474,496,526,462,476,488,504,500,504
102,493,515,644,538,494,580,485,538,496,521,488,500,493,490,503,500,484,484,490,468,474,530,468,470,482,514,538,498
103,493,497,461,547,484,540,643,509,496,512,488,515,500,500,496,490,498,486,480,494,476,532,474,484,468,484,492,510
104,493,498,705,547,492,570,548,548,508,524,485,510,503,483,490,490,488,492,488,496,482,536,472,484,466,500,550,506
105,493,499,426,537,480,550,647,543,500,524,485,525,496,500,490,500,502,482,476,504,486,538,478,454,472,476,542,504
106,493,498,631,538,490,544,503,544,506,498,485,517,490,510,500,483,500,492,478,492,462,540,474,464,478,504,510,512
107,493,484,425,521,492,567,518,519,502,500,505,510,450,513,483,500,520,494,486,496,480,544,476,500,462,484,492,508
108,493,507,421,547,499,533,547,547,508,500,501,512,500,516,500,496,514,504,494,504,476,548,474,458,482,504,560,514
109,496,473,422,548,502,522,514,514,516,514,508,522,483,496,496,513,492,506,490,490,478,548,482,518,492,508,538,514
110,496,498,721,547,490,531,525,524,518,504,511,530,500,523,510,516,522,506,494,516,494,554,490,482,484,496,556,518
111,500,502,722,536,481,547,537,537,518,544,521,527,510,526,510,506,518,510,496,508,498,556,492,498,484,474,578,516
112,509,498,637,537,498,552,541,542,522,525,518,527,513,526,506,523,518,512,494,492,482,552,492,482,478,502,512,520
113,509,488,633,535,493,543,551,551,524,532,520,527,510,526,523,526,526,514,514,532,492,528,486,500,504,516,560,520
114,509,506,727,524,494,541,550,548,524,600,501,525,506,513,526,520,532,520,504,510,504,530,500,504,506,504,548,526
115,509,472,635,539,491,574,503,538,526,532,510,530,523,523,526,526,526,514,512,514,508,534,498,496,468,486,478,536
116,515,478,634,526,495,562,543,546,528,534,523,530,516,520,526,513,508,518,498,524,496,534,496,478,494,510,562,528
117,516,449,275,532,472,553,566,563,534,542,506,527,526,516,536,523,536,530,514,516,506,538,500,498,502,508,596,526
118,516,467,622,532,479,547,570,565,532,540,508,527,526,523,523,520,532,526,510,530,514,536,502,510,524,500,564,524
119,516,544,625,527,456,554,504,553,536,608,510,527,513,520,520,516,528,522,524,510,506,540,500,512,518,508,576,538
120,517,489,626,529,460,541,557,558,532,540,516,512,523,516,516,523,530,532,518,544,518,546,498,508,508,530,576,536
121,517,500,625,515,523,539,512,561,534,541,521,520,520,510,523,520,536,530,528,524,516,542,496,510,520,530,574,532
122,517,473,439,527,454,546,500,557,532,610,520,525,516,523,520,516,530,530,526,534,522,548,490,518,510,508,576,522
123,517,505,744,530,477,552,556,556,536,545,521,522,523,513,516,510,530,528,526,532,522,544,500,530,516,538,530,520
124,504,489,449,529,486,558,563,561,532,542,523,522,520,506,510,523,526,532,528,520,526,546,488,524,500,514,600,524
125,494,484,261,520,469,551,555,558,528,565,518,522,516,526,523,513,524,518,530,520,524,546,492,528,516,514,578,526
126,492,462,460,519,459,548,553,553,524,515,523,505,510,520,513,506,490,524,532,524,512,548,490,516,494,504,572,520
127,495,499,633,530,452,551,511,550,526,514,521,505,523,466,506,526,522,536,534,516,516,548,486,512,486,532,510,524
128,507,485,411,513,463,557,509,546,520,515,520,502,513,513,526,516,516,532,538,518,516,542,488,512,496,506,508,528
129,507,474,448,527,468,580,548,548,518,557,516,482,506,516,520,466,508,520,518,494,510,542,478,518,488,500,504,518
130,507,475,460,530,462,567,511,511,518,515,515,472,526,516,466,513,494,516,528,518,492,540,484,514,496,536,562,522
131,506,462,641,518,464,565,508,552,518,582,511,490,516,520,513,516,504,516,534,514,490,536,494,510,486,544,552,528
132,505,495,442,535,452,544,535,535,518,512,513,500,466,496,516,516,516,508,528,512,496,540,490,506,496,566,596,518
133,504,465,649,516,453,580,507,549,522,512,623,470,516,510,516,520,520,512,532,514,490,538,486,490,498,494,612,522
134,503,478,648,534,491,560,498,544,516,511,515,490,513,500,520,496,524,508,520,516,502,542,488,502,484,502,474,522
135,501,495,458,536,444,557,511,548,516,508,515,492,513,493,496,503,496,522,518,512,490,540,490,496,488,506,554,514
136,498,468,446,538,439,558,499,540,514,508,511,490,520,483,503,500,506,528,512,518,486,540,494,500,494,502,516,518
137,496,478,414,537,484,569,497,544,508,507,513,497,496,486,500,493,496,526,516,514,482,534,490,498,506,502,546,508
138,491,460,473,542,482,534,495,548,510,505,508,495,503,473,493,500,496,496,504,500,486,538,490,488,492,484,506,512
139,489,438,488,549,451,544,493,542,510,501,506,495,506,473,500,486,498,508,514,504,488,536,484,504,494,502,504,506
140,489,480,488,553,465,530,483,535,508,498,503,492,493,470,486,473,484,490,520,480,494,534,482,494,486,480,540,502
141,489,474,476,564,496,547,528,528,504,497,503,485,500,480,473,483,498,486,526,504,494,534,470,494,482,506,546,504
142,488,470,587,562,466,556,498,533,502,495,503,490,486,490,473,476,492,516,492,492,488,532,476,494,484,486,542,504
143,488,461,501,575,464,519,488,524,500,495,500,482,470,490,476,476,494,482,500,478,480,532,472,482,482,474,524,512
144,488,455,485,572,524,534,523,522,500,495,496,495,483,496,476,490,498,490,494,496,484,520,474,490,480,488,482,504
145,488,465,507,578,487,566,483,496,498,497,495,495,476,496,490,486,504,492,512,496,482,538,474,498,476,534,500,504
146,488,477,506,578,483,548,500,501,498,498,495,495,480,503,486,496,502,492,498,496,480,530,474,484,482,498,500,516
147,489,497,490,582,519,523,489,489,498,497,491,495,490,486,496,496,502,502,486,500,474,536,470,492,480,492,502,512
148,490,488,508,580,501,522,496,498,494,498,493,495,490,506,496,503,502,496,488,472,472,530,470,490,490,484,520,514
149,492,496,499,585,512,526,502,523,496,502,493,495,496,483,506,500,482,500,494,494,472,536,472,490,492,490,502,520
150,493,499,506,583,513,543,488,540,498,560,495,502,496,496,486,506,482,512,492,500,482,532,478,484,486,494,496,520
151,494,509,494,580,515,538,493,494,506,504,493,497,506,500,506,483,504,502,500,496,480,544,476,488,486,498,502,516
152,495,498,488,573,509,529,482,537,502,505,491,510,500,500,483,496,486,492,496,480,494,542,480,488,482,494,514,516
153,495,466,462,567,511,508,499,533,504,505,491,505,506,506,496,503,504,494,494,482,496,552,482,476,482,500,568,518
154,496,505,478,546,512,512,490,490,506,504,496,512,500,503,503,500,486,498,512,482,496,552,484,480,486,484,494,526
155,496,482,456,559,492,550,491,491,506,567,500,517,496,503,500,506,490,502,508,484,494,546,484,486,488,490,526,518
156,497,464,483,559,482,523,533,533,512,511,501,517,503,506,506,503,516,500,516,496,494,524,482,490,490,496,498,522
157,499,481,473,562,491,526,505,506,508,512,500,527,500,506,503,503,490,506,502,484,496,526,486,500,498,494,502,522
158,504,504,482,561,489,543,495,507,514,514,503,520,506,526,496,506,504,500,498,488,500,528,492,496,512,498,492,534
159,506,447,322,541,502,536,510,511,514,512,503,540,503,536,506,513,498,516,510,510,494,530,488,484,488,514,504,536
160,520,490,474,501,504,528,499,510,514,515,501,532,506,543,506,526,506,504,510,490,512,530,494,496,502,510,534,542
161,526,457,435,538,481,533,515,514,518,521,505,537,510,533,526,530,508,502,494,490,498,472,500,496,514,510,518,542
162,544,489,402,526,497,569,514,515,520,528,506,545,513,536,530,543,518,516,498,498,512,476,498,504,518,514,512,548
163,543,462,447,534,474,520,518,518,526,530,510,540,526,546,543,533,524,522,510,504,512,478,504,508,534,530,554,556
164,540,433,433,518,469,535,519,531,530,535,511,542,530,543,533,536,540,520,504,506,522,486,508,518,534,534,542,558
165,540,439,430,515,453,601,532,535,536,640,518,545,543,540,536,546,542,526,498,526,522,528,516,506,514,528,560,554
166,540,455,409,483,441,535,533,533,546,540,540,545,530,553,546,543,538,530,504,522,530,522,518,528,536,526,588,560
167,540,482,638,504,440,538,532,580,548,544,528,540,536,536,543,540,550,550,526,524,544,540,536,524,540,542,580,564
168,540,443,429,505,450,578,542,545,546,545,535,535,546,526,540,553,540,544,522,538,530,524,514,530,538,546,576,560
169,540,408,427,503,480,554,551,552,552,550,551,532,543,493,553,536,560,540,516,548,528,528,528,538,526,532,580,556
170,540,439,409,506,427,569,550,550,556,552,545,530,540,486,536,540,546,546,532,548,540,542,532,530,548,544,546,550
